CONC.CH3COOH,8.20E-09
CONC.CH3CHO,2.51E-08
CONC.BIGALD1,6.47E-11
CONC.ALKOOH,3.79E-10
CONC.DICARBO2,1.55E-13
CONC.BENZOOH,5.78E-12
CONC.ALKO2,1.39E-11
CONC.HO2NO2,7.99E-10
CONC.C3H7OOH,7.87E-11
CONC.NH3,7.59E-08
CONC.TERP2OOH,5.96E-10
CONC.POOH,9.24E-10
CONC.NOA,5.46E-09
CONC.NC4CHO,3.67E-11
CONC.TEPOMUC,2.21E-10
PHOTO.jacet,1.25E-06
PHOTO.jalknit,5.95E-06
PHOTO.jalkooh,5.95E-06
PHOTO.jbenzooh,5.95E-06
PHOTO.jbepomuc,1.01E-03
PHOTO.jbigald,2.01E-03
PHOTO.jbigald1,1.41E-03
PHOTO.jbigald2,2.01E-03
PHOTO.jbigald3,2.01E-03
PHOTO.jbigald4,6.03E-05
PHOTO.jbrcl,1.12E-02
PHOTO.jbro,4.07E-02
PHOTO.jbrono2_a,1.27E-03
PHOTO.jbrono2_b,2.24E-04
PHOTO.jbzooh,5.95E-06
PHOTO.jc2h5ooh,5.95E-06
PHOTO.jc3h7ooh,5.95E-06
PHOTO.jc6h5ooh,5.95E-06
PHOTO.jccl4,1.28E-23
PHOTO.jcf2cl2,2.50E-24
PHOTO.jcf2clbr,6.95E-09
PHOTO.jcf3br,1.45E-12
PHOTO.jcfc113,2.60E-24
PHOTO.jcfc114,2.09E-25
PHOTO.jcfc115,1.23E-26
PHOTO.jcfcl3,1.38E-23
PHOTO.jch2br2,1.15E-09
PHOTO.jch2o_a,3.47E-05
PHOTO.jch2o_b,4.92E-05
PHOTO.jch3br,9.35E-16
PHOTO.jch3ccl3,1.79E-23
PHOTO.jch3cho,7.18E-06
PHOTO.jch3cl,4.68E-25
PHOTO.jch3co3h,2.23E-06
PHOTO.jch3ooh,5.95E-06
PHOTO.jch4_a,0.00E+00
PHOTO.jch4_b,0.00E+00
PHOTO.jchbr3,1.81E-06
PHOTO.jcl2,2.52E-03
PHOTO.jcl2o2,1.98E-03
PHOTO.jclo,2.40E-04
PHOTO.jclono2_a,4.59E-05
PHOTO.jclono2_b,1.00E-05
PHOTO.jco2,5.28E-30
PHOTO.jcof2,3.30E-25
PHOTO.jcofcl,2.30E-24
PHOTO.jeooh,5.95E-06
PHOTO.jglyald,6.18E-06
PHOTO.jglyoxal,1.40E-04
PHOTO.jh2402,3.68E-09
PHOTO.jh2o2,7.98E-06
PHOTO.jh2o_a,8.96E-31
PHOTO.jh2o_b,0.00E+00
PHOTO.jh2o_c,0.00E+00
PHOTO.jh2so4,3.10E-10
PHOTO.jhbr,2.55E-23
PHOTO.jhcfc141b,4.36E-24
PHOTO.jhcfc142b,3.98E-26
PHOTO.jhcfc22,8.55E-27
PHOTO.jhcl,6.59E-25
PHOTO.jhf,0.00E+00
PHOTO.jhno3,8.54E-07
PHOTO.jho2no2_a,1.71E-06
PHOTO.jho2no2_b,1.72E-05
PHOTO.jhobr,2.37E-03
PHOTO.jhocl,3.04E-04
PHOTO.jhonitr,3.47E-05
PHOTO.jhpald,6.03E-05
PHOTO.jhyac,2.47E-06
PHOTO.jisopnooh,5.95E-06
PHOTO.jisopooh,5.95E-06
PHOTO.jmacr_a,2.77E-06
PHOTO.jmacr_b,2.77E-06
PHOTO.jmek,1.25E-06
PHOTO.jmekooh,5.95E-06
PHOTO.jmgly,1.40E-04
PHOTO.jmpan,9.69E-07
PHOTO.jmvk,5.20E-06
PHOTO.jn2o,9.25E-25
PHOTO.jn2o5_a,5.54E-05
PHOTO.jn2o5_b,3.76E-09
PHOTO.jnc4cho,3.47E-05
PHOTO.jno,0.00E+00
PHOTO.jno2,1.01E-02
PHOTO.jno3_a,1.99E-01
PHOTO.jno3_b,1.24E-02
PHOTO.jnoa,3.47E-05
PHOTO.jnterpooh,5.95E-06
PHOTO.jo2_a,0.00E+00
PHOTO.jo2_b,1.40E-28
PHOTO.jo3_a,5.13E-05
PHOTO.jo3_b,4.49E-04
PHOTO.joclo,7.26E-02
PHOTO.jocs,6.18E-12
PHOTO.jonitr,7.18E-06
PHOTO.jpan,9.69E-07
PHOTO.jphenooh,5.95E-06
PHOTO.jpooh,5.95E-06
PHOTO.jrooh,5.95E-06
PHOTO.jso,2.58E-22
PHOTO.jso2,1.18E-22
PHOTO.jso3,2.36E-07
PHOTO.jtepomuc,1.01E-03
PHOTO.jterp2ooh,5.95E-06
PHOTO.jterpnit,5.95E-06
PHOTO.jterpooh,5.95E-06
PHOTO.jterprd1,7.18E-06
PHOTO.jterprd2,7.18E-06
PHOTO.jtolooh,5.95E-06
PHOTO.jxooh,5.95E-06
PHOTO.jxylenooh,5.95E-06
PHOTO.jxylolooh,5.95E-06
PHOTO.jsf6,1.0e-20
PHOTO.jsoa1_a1,1.0e-20
PHOTO.jsoa1_a2,1.0e-20
PHOTO.jsoa2_a1,1.0e-20
PHOTO.jsoa2_a2,1.0e-20
PHOTO.jsoa3_a1,1.0e-20
PHOTO.jsoa3_a2,1.0e-20
PHOTO.jsoa4_a1,1.0e-20
PHOTO.jsoa4_a2,1.0e-20
PHOTO.jsoa5_a1,1.0e-20
PHOTO.jsoa5_a2,1.0e-20
USER.het1,1.0E-20
USER.het2,1.0E-20
USER.het3,1.0E-20
USER.het4,6.022140760000E-03
USER.het5,6.022140760000E-03
USER.het6,6.022140760000E-03
USER.het7,1.0E-20
USER.het8,1.0E-20
USER.het9,6.022140760000E-03
USER.het10,6.022140760000E-03
USER.het11,1.0E-20
USER.het12,1.0E-20
USER.het13,1.0E-20
USER.het14,1.0E-20
USER.het15,6.022140760000E-03
USER.het16,6.022140760000E-03
USER.het17,6.022140760000E-03
SURF.usr_NO2_aer,2.820947917738780E-08,1.0e11
SURF.usr_HO2_aer,2.820947917738780E-08,1.0e11
SURF.usr_NO3_aer,2.820947917738780E-08,1.0e11
SURF.usr_ISOPNITA_aer,2.820947917738780E-08,1.0e11
SURF.usr_ISOPNITB_aer,2.820947917738780E-08,1.0e11
SURF.usr_GLYOXAL_aer,2.820947917738780E-08,1.0e11
SURF.usr_ONITR_aer,2.820947917738780E-08,1.0e11
SURF.usr_N2O5_aer,2.820947917738780E-08,1.0e11
SURF.usr_HONITR_aer,2.820947917738780E-08,1.0e11
SURF.usr_NC4CHO_aer,2.820947917738780E-08,1.0e11
SURF.usr_TERPNIT_aer,2.820947917738780E-08,1.0e11
SURF.usr_NTERPOOH_aer,2.820947917738780E-08,1.0e11
SURF.usr_NC4CH2OH_aer,2.820947917738780E-08,1.0e11
USER.usr_CO_OH,8.886e4
USER.usr_DMS_OH,3.484e-12
ENV.temperature,287.45
ENV.pressure,101319.9
ENV.air_density,42.3934005
ENV.time_step,60.0
